0,45.523104,-122.670132,537081
1,47.620716,-122.347533,582454
2,37.775196,-122.419204,744041
3,40.771592,-111.888189,178858
4,39.755092,-104.988123,566974
5,34.052187,-118.243425,3849378
6,41.879535,-87.624333,2833321
7,38.892091,-77.024055,581530
8,44.977482,-93.264351,372833
9,39.090432,-94.583653,447306
10,32.781078,-96.797111,1232940
11,33.754487,-84.389663,486411
12,40.757929,-73.985506,8214426
13,29.759956,-95.362534,2144491
14,25.774252,-80.190262,404048
15,35.779748,-78.643414,356321
16,27.981460,-82.451142,332888
17,40.438355,-80.001983,312819
18,39.951639,-75.163808,1448394
19,42.358880,-71.056820,590763
20,41.629228,-71.655971,5085
21,38.573659,-121.487147,453781
22,32.718834,-117.163841,1256951
23,41.259751,-95.942336,419545
24,36.233048,-115.246776,552539
25,33.448263,-112.073821,1512986
26,43.040182,-87.914480,573358
27,38.627522,-90.198410,347181
28,39.767016,-86.156255,785597
29,42.330165,-83.045913,871121
30,35.493138,-97.459141,537734
31,30.268735,-97.745209,709893
32,32.514240,-93.747757,200199
33,29.425037,-98.493722,1296682
34,30.042487,-90.025126,223388
35,35.142852,-90.052350,670902
36,32.514240,-93.747757,200199
37,36.158880,-86.782097,552120
38,38.256065,-85.751540,554496
39,28.553154,-81.364438,220186
40,30.326221,-81.657929,794555
41,26.137289,-80.129679,185804
42,35.231402,-80.845841,630478
43,39.099233,-84.517486,332252
44,41.499713,-81.693716,444313
45,42.886875,-78.877875,276059
46,42.651725,-73.755093,95658
47,39.677485,-75.753563,28547
48,39.286534,-76.613558,631366
49,40.220170,-74.764179,83923
50,37.540778,-77.433928,192913
51,36.854685,-76.274406,229112
52,40.735443,-74.172110,281402
