155,0,1
155,5,2
45,46,12
155,8,4
45,5,22
155,7,12
155,7,18
45,50,51
45,10,31
45,6,23
45,8,6
155,11,15
45,35,37
45,37,39
622,6,12
622,11,14
45,5,13
45,2,21
45,10,13
622,19,20
45,7,50
45,6,27
45,11,42
622,2,5
45,6,28
45,25,13
45,11,34
45,43,29
45,50,42
622,7,10
45,44,29
45,6,29
45,14,16
2488,5,10
45,48,49
45,39,40
45,39,16
622,6,7
155,6,11
622,11,10
155,6,8
45,2,23
622,6,10
45,8,26
622,10,5
45,3,24
45,13,11
45,43,28
622,12,7
155,10,7
45,13,33
622,2,6
622,7,11
45,7,17
155,0,2
45,10,32
45,5,24
45,2,7
45,14,41
2488,52,18
45,7,51
622,18,48
45,37,38
622,2,10
45,3,21
45,3,4
155,12,19
155,14,7
45,50,15
45,11,40
622,12,18
45,35,36
45,41,40
45,6,26
45,12,47
45,46,19
155,6,9
155,7,15
45,48,7
45,20,12
45,42,15
155,12,20
45,44,45
45,44,38
45,13,34
155,3,2
45,4,25
45,43,44
45,10,30
155,10,9
45,31,33
45,5,25
45,4,8
45,2,22
155,3,1
