0 0.095036
1 0.086088
2 0.078056
3 0.070725
4 0.063941
5 0.057764
6 0.051930
7 0.047358
8 0.042894
9 0.038268
10 0.034797
11 0.031643
12 0.028755
13 0.026106
14 0.023427
15 0.020967
16 0.019212
17 0.017593
18 0.015774
19 0.014343
20 0.012915
21 0.011808
22 0.010587
23 0.009697
24 0.008670
25 0.007760
26 0.007131
27 0.006384
28 0.005823
29 0.005243
30 0.004696
31 0.004161
32 0.003892
33 0.003469
34 0.003237
35 0.002866
36 0.002560
37 0.002239
38 0.002141
39 0.001889
40 0.001666
41 0.001537
42 0.001384
43 0.001315
44 0.001232
45 0.001024
46 0.000971
47 0.000839
48 0.000837
49 0.000691
50 0.000634
51 0.000557
52 0.000532
53 0.000449
54 0.000435
55 0.000406
56 0.000353
57 0.000288
58 0.000265
59 0.000302
60 0.000234
61 0.000225
62 0.000203
63 0.000175
64 0.000151
65 0.000160
66 0.000104
67 0.000102
68 0.000092
69 0.000101
70 0.000106
71 0.000088
72 0.000074
73 0.000065
74 0.000052
75 0.000049
76 0.000035
77 0.000045
78 0.000030
79 0.000034
80 0.000036
81 0.000031
82 0.000024
83 0.000018
84 0.000020
85 0.000020
86 0.000027
87 0.000011
88 0.000015
89 0.000009
90 0.000006
91 0.000009
92 0.000009
93 0.000010
94 0.000010
95 0.000006
96 0.000007
97 0.000003
98 0.000008
99 0.000034
