0 0.193486
1 0.096366
2 0.064186
3 0.048029
4 0.038677
5 0.032322
6 0.027646
7 0.024102
8 0.021235
9 0.018964
10 0.017473
11 0.015962
12 0.014921
13 0.013647
14 0.012930
15 0.011994
16 0.011438
17 0.010785
18 0.010009
19 0.009547
20 0.009163
21 0.008664
22 0.008383
23 0.008019
24 0.007793
25 0.007298
26 0.007174
27 0.007014
28 0.006554
29 0.006386
30 0.006117
31 0.005906
32 0.005802
33 0.005664
34 0.005575
35 0.005348
36 0.005139
37 0.005031
38 0.005024
39 0.004771
40 0.004784
41 0.004584
42 0.004497
43 0.004319
44 0.004276
45 0.004159
46 0.004161
47 0.004133
48 0.003953
49 0.003887
50 0.003717
51 0.003714
52 0.003572
53 0.003606
54 0.003557
55 0.003589
56 0.003368
57 0.003545
58 0.003316
59 0.003294
60 0.003078
61 0.003054
62 0.003078
63 0.003001
64 0.002923
65 0.002909
66 0.002905
67 0.002795
68 0.002895
69 0.002672
70 0.002606
71 0.002692
72 0.002656
73 0.002516
74 0.002602
75 0.002571
76 0.002585
77 0.002473
78 0.002462
79 0.002393
80 0.002403
81 0.002354
82 0.002270
83 0.002324
84 0.002280
85 0.002191
86 0.002184
87 0.002155
88 0.002141
89 0.002211
90 0.002101
91 0.002037
92 0.002084
93 0.002091
94 0.002062
95 0.002001
96 0.001990
97 0.001922
98 0.001847
99 0.001911
